Log file created at  2019-05-16 18:48:41
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', from_pretrain=1, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='LoadMetaModel', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=15, result_dir='saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1', run_name='CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
Pre-trained  prior loaded from saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_10------------------------
Meta-Testing task 1 out of 10...
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.003853 	  Acc: 1.0	 Empiric Loss: 0.003208	 Intra-Comp. 0.06447, w_kld 0.0007007, b_kld 0.000296
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.003856 	  Acc: 1.0	 Empiric Loss: 0.003211	 Intra-Comp. 0.06448, w_kld 0.0007109, b_kld 0.0002989
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.00401 	  Acc: 1.0	 Empiric Loss: 0.003362	 Intra-Comp. 0.06478, w_kld 0.0007215, b_kld 0.0003029
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.003691 	  Acc: 1.0	 Empiric Loss: 0.003049	 Intra-Comp. 0.06415, w_kld 0.0007314, b_kld 0.0003079
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.00453 	  Acc: 1.0	 Empiric Loss: 0.003872	 Intra-Comp. 0.06574, w_kld 0.0007407, b_kld 0.0003107
(60.0%)	Epoch: 24 	 Batch: 0 	 Objective: 0.002123 	  Acc: 1.0	 Empiric Loss: 0.001519	 Intra-Comp. 0.06046, w_kld 0.0007488, b_kld 0.0003135
(62.5%)	Epoch: 25 	 Batch: 0 	 Objective: 0.002397 	  Acc: 1.0	 Empiric Loss: 0.001785	 Intra-Comp. 0.0612, w_kld 0.0007569, b_kld 0.0003167
(65.0%)	Epoch: 26 	 Batch: 0 	 Objective: 0.004106 	  Acc: 1.0	 Empiric Loss: 0.003457	 Intra-Comp. 0.06496, w_kld 0.0007647, b_kld 0.0003193
(67.5%)	Epoch: 27 	 Batch: 0 	 Objective: 0.002483 	  Acc: 1.0	 Empiric Loss: 0.001868	 Intra-Comp. 0.06142, w_kld 0.0007723, b_kld 0.0003225
(70.0%)	Epoch: 28 	 Batch: 0 	 Objective: 0.002293 	  Acc: 1.0	 Empiric Loss: 0.001684	 Intra-Comp. 0.06093, w_kld 0.0007797, b_kld 0.0003255
(72.5%)	Epoch: 29 	 Batch: 0 	 Objective: 0.001134 	  Acc: 1.0	 Empiric Loss: 0.0005637	 Intra-Comp. 0.057, w_kld 0.0007865, b_kld 0.0003274
(75.0%)	Epoch: 30 	 Batch: 0 	 Objective: 0.002344 	  Acc: 1.0	 Empiric Loss: 0.001734	 Intra-Comp. 0.06106, w_kld 0.0007931, b_kld 0.00033
(77.5%)	Epoch: 31 	 Batch: 0 	 Objective: 0.001841 	  Acc: 1.0	 Empiric Loss: 0.001244	 Intra-Comp. 0.05962, w_kld 0.0007992, b_kld 0.0003323
(80.0%)	Epoch: 32 	 Batch: 0 	 Objective: 0.00192 	  Acc: 1.0	 Empiric Loss: 0.001321	 Intra-Comp. 0.05986, w_kld 0.0008053, b_kld 0.0003342
